1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add Объявление,7,add_ad
26,Can change Объявление,7,change_ad
27,Can delete Объявление,7,delete_ad
28,Can view Объявление,7,view_ad
29,Can add Категория,8,add_category
30,Can change Категория,8,change_category
31,Can delete Категория,8,delete_category
32,Can view Категория,8,view_category
33,Can add Местоположение,9,add_location
34,Can change Местоположение,9,change_location
35,Can delete Местоположение,9,delete_location
36,Can view Местоположение,9,view_location
37,Can add Пользователь,10,add_user
38,Can change Пользователь,10,change_user
39,Can delete Пользователь,10,delete_user
40,Can view Пользователь,10,view_user
